organization_cost_scale,cross_node_learning,integration_threshold,conditional_target_size,continuous_target_size
0.03887500,0.07500000,0.61359837,4,4.09056318
0.04025000,0.07500000,0.62317442,4,4.03043609
0.04162500,0.07500000,0.63275048,4,3.97317306
0.04300000,0.07500000,0.64232654,4,3.91854972
0.04437500,0.07500000,0.65190259,4,3.86636575
0.04575000,0.07500000,0.66147865,4,3.81644162
0.04712500,0.07500000,0.67105471,4,3.76861594
0.04850000,0.07500000,0.68063076,4,3.72274308
0.04987500,0.07500000,0.69020682,4,3.67869130
0.05125000,0.07500000,0.69978287,4,3.63634108
0.05262500,0.07500000,0.70935893,4,3.59558366
0.05400000,0.07500000,0.71893499,4,3.55631985
0.05537500,0.07500000,0.72851104,4,3.51845895
0.05675000,0.07500000,0.73808710,4,3.48191787
0.05812500,0.07500000,0.74560307,3,3.44662027
0.05950000,0.07500000,0.75200443,3,3.41249591
0.06087500,0.07500000,0.75840580,3,3.37948003
0.06225000,0.07500000,0.76480716,3,3.34751280
0.06362500,0.07500000,0.77120852,3,3.31653885
0.06500000,0.07500000,0.77760989,3,3.28650683
